t0,tf,steps,phases,linearTimeSpacing,elements,time,xComp,Rcrit_beta,Gcrit_beta,Rad_beta,avgR_beta,avgAR_beta,betaFrac_beta,nucRate_beta,precipitateDensity_beta,dGs_beta,xEqAlpha_beta,xEqBeta_beta,PSDdata_beta,PSDsize_beta,PSD_beta,PSDbounds_beta,eqAspectRatio_beta
,,,,,,327339.62838824233,0.0001675516207767149,2.176120014059846e-08,1.983600925471305e-16,0.0,2.19219024231348e-08,1.0,0.00733470928660873,0.0,1.6090004917160385e+20,9190669.70976041,0.00015592627648979669,0.25,,,,,
,,,,,,327792.22262589785,0.00016754846216902297,2.1766806030733777e-08,1.9846230456740103e-16,0.0,2.1909702320947904e-08,1.0,0.007334721836780669,0.0,1.6090004917160385e+20,9188302.716431662,0.00015592627648979669,0.25,,,,,
,,,,,,328245.4426403496,0.00016754532357627182,2.177245929854119e-08,1.9856540708537525e-16,0.0,2.1933096043872468e-08,1.0,0.007334734307426448,0.0,1.6063428699045455e+20,9185916.953057881,0.00015592627648979669,0.25,,,,,
,,,,,,328699.2892968244,0.0001675421601657944,2.1778079760592898e-08,1.9866793784397874e-16,0.0,2.19208675009832e-08,1.0,0.007334746876680776,0.0,1.6063428699045455e+20,9183546.262059761,0.00015592627648979669,0.25,,,,,
,,,,,,329153.7634617451,0.00016753901679430122,2.1783747708116447e-08,1.9877136165267114e-16,0.0,2.1944318291096474e-08,1.0,0.007334759366313415,0.0,1.6036846506006112e+20,9181156.780736763,0.00015592627648979669,0.25,,,,,
,,,,,,329608.86600273266,0.00016753584857371524,2.1789382781264843e-08,1.9887421227798047e-16,0.0,2.193206127322611e-08,1.0,0.007334771954679227,0.0,1.6036846506006115e+20,9178782.390853135,0.00015592627648979669,0.25,,,,,
,,,,,,330064.5977886076,0.00016753270041792564,2.1795065454280117e-08,1.9897795863012125e-16,0.0,2.195556919816777e-08,1.0,0.007334784463320792,0.0,1.601025852429499e+20,9176389.187716627,0.00015592627648979669,0.25,,,,,
,,,,,,330520.9596893916,0.00016752952738946993,2.1800715185406734e-08,1.990811303937517e-16,0.0,2.1943283670708234e-08,1.0,0.007334797070789188,0.0,1.601025852429499e+20,9174011.09455854,0.00015592627648979669,0.25,,,,,
,,,,,,330977.95257630956,0.00016752637488260438,2.1806412622703798e-08,1.9918520041728448e-16,0.0,2.1966848797387584e-08,1.0,0.007334809596718352,0.0,1.598366493894417e+20,9171614.168760696,0.00015592627648979669,0.25,,,,,
,,,,,,331435.5773217907,0.0001675232020529467,2.1812076267679535e-08,1.992886801393445e-16,0.0,2.1954534702864076e-08,1.0,0.007334822203396221,0.0,1.5983664938944174e+20,9169232.700537825,0.00015592627648979669,0.25,,,,,
,,,,,,331893.83479947055,0.00016752005052535047,2.1817779503839043e-08,1.9939291038187592e-16,0.0,2.19781570782703e-08,1.0,0.007334834725433797,0.0,1.5957065933752726e+20,9166835.834280953,0.00015592627648979669,0.25,,,,,
,,,,,,332352.7258841927,0.00016751687437527567,2.1823447509653663e-08,1.994965237653081e-16,0.0,2.1965814399692597e-08,1.0,0.007334847345304118,0.0,1.595706593375273e+20,9164455.015265653,0.00015592627648979669,0.25,,,,,
,,,,,,332812.25145201024,0.0001675137185322001,2.182916288382927e-08,1.9960103031346033e-16,0.0,2.198949412094984e-08,1.0,0.007334859884487853,0.0,1.5930461691299758e+20,9162055.551309727,0.00015592627648979669,0.25,,,,,
,,,,,,333272.4123801875,0.0001675105378015238,2.183484478885455e-08,1.9970495199862083e-16,0.0,2.1977122829447463e-08,1.0,0.007334872522557742,0.0,1.5930461691299758e+20,9159671.38371054,0.00015592627648979669,0.25,,,,,
,,,,,,333733.2095472018,0.00016750737734746527,2.1840574602628916e-08,1.9980977732103855e-16,0.0,2.2000859971280294e-08,1.0,0.007334885080061764,0.0,1.5903852392939435e+20,9157268.369494205,0.00015592627648979669,0.25,,,,,
,,,,,,334194.6438327451,0.00016750419197683229,2.1846270978968946e-08,1.9991401817899967e-16,0.0,2.1988460032081038e-08,1.0,0.007334897736567056,0.0,1.5903852392939435e+20,9154880.628038032,0.00015592627648979669,0.25,,,,,
,,,,,,334656.7161177263,0.0001675010269220723,2.1852015380465363e-08,2.0001916540237748e-16,0.0,2.2012254669219745e-08,1.0,0.007334910312350511,0.0,1.587723821877837e+20,9152474.016608212,0.00015592627648979669,0.25,,,,,
,,,,,,335119.4272842703,0.00016749783692379685,2.185772624362718e-08,2.0012372613299796e-16,0.0,2.1999826047033965e-08,1.0,0.007334922987242276,0.0,1.5877238218778365e+20,9150082.709931646,0.00015592627648979669,0.25,,,,,
,,,,,,335582.7782157236,0.00016749466725720773,2.1863485244310372e-08,2.0022919588705833e-16,0.0,2.2023678255504252e-08,1.0,0.007334935581349374,0.0,1.5850619347832806e+20,9147672.511740968,0.00015592627648979669,0.25,,,,,
,,,,,,336046.7697966535,0.0001674914726211975,2.1869210655723432e-08,2.003340780331803e-16,0.0,2.2011220914918292e-08,1.0,0.007334948274667708,0.0,1.5850619347832806e+20,9145277.629299797,0.00015592627648979669,0.25,,,,,
,,,,,,336511.4029128502,0.00016748829834472068,2.1874984310757615e-08,2.004398717502301e-16,0.0,2.2035130764089615e-08,1.0,0.007334960887090733,0.0,1.582399596369208e+20,9142863.836564071,0.00015592627648979669,0.25,,,,,
,,,,,,336976.6784513288,0.00016748509907653123,2.1880724301954127e-08,2.0054507631005393e-16,0.0,2.2022644669221134e-08,1.0,0.007334973598813559,0.0,1.582399596369208e+20,9140465.380406562,0.00015592627648979669,0.25,,,,,
,,,,,,337442.5973003307,0.00016748192020027143,2.1886512642047016e-08,2.0065119497706333e-16,0.0,2.204661223099294e-08,1.0,0.00733498622951236,0.0,1.5797368247654685e+20,9138047.995641142,0.00015592627648979669,0.25,,,,,
,,,,,,337909.16034932545,0.00016747871631094698,2.189226722897219e-08,2.007567226651999e-16,0.0,2.203409734558459e-08,1.0,0.007334998959595793,0.0,1.5797368247654685e+20,9135645.974371836,0.00015592627648979669,0.25,,,,,
,,,,,,338376.3684890125,0.00016747553283785833,2.189807027181342e-08,2.0086316703251427e-16,0.0,2.205812269686062e-08,1.0,0.007335011608558628,0.0,1.5770736377122947e+20,9133225.005568944,0.00015592627648979669,0.25,,,,,
